% Model:              ellipsoidsi3n4.mph
% Version:            COMSOL 4.4.0.150
% Date:               Jun 7 2015, 12:29
% Dimension:          3
% Nodes:              1253
% Expressions:        1
% Description:        Temperature
% Length unit:        m
% x                       y                        z                        T (K)
8.210993615010706E-7      -9.282115340620599E-7    0                        308.6957931571561
8.23978733960849E-7       -1.0302723517094283E-6   2.7319490539803267E-7    306.8591431006834
2.852713175140989E-7      -9.129095370583004E-7    0                        315.5015056836556
1.0998407866731313E-7     -8.347919943815651E-7    3.3000627708304996E-7    317.58565307872317
5.372874682289685E-7      -8.468427690219677E-7    0                        314.21376102419123
0                         -5.87658407306872E-7     3.178881778503161E-7     328.3584698287163
2.1404705208670636E-7     -5.717331572967833E-7    2.1781163978829852E-7    330.11005171597424
3.1359901646609786E-7     -5.464024677480715E-7    0                        329.9120809643554
1.0587472167993946E-6     -1.0994078539110354E-6   2.929224304935578E-7     303.8167656740514
1.3400538676602426E-6     -1.0651371015144859E-6   1.9925537361301386E-7    301.7460794828411
1.19848910456551E-6       -1.0029751874298413E-6   0                        303.5986118710945
1.5723726475805206E-6     -1.0486869189223534E-6   0                        300
1.3787365040076111E-6     -7.532758337217524E-7    0                        303.4948596488058
1.4566877397014602E-6     -1.185703449382638E-6    2.9455999709075725E-7    300
1.6574009584279482E-6     -8.875172898763601E-7    2.708742169686389E-7     300
1.747357457051204E-6      -7.203068202363851E-7    0                        300
1.2649520388824091E-6     -1.0825584436273706E-6   4.6102209740102756E-7    301.9083201323872
1.30288634519123E-6       -1.2994645133085357E-6   6.037542002549198E-7     300
4.36249481234537E-7       -1.2796712840419542E-6   1.3896497360556859E-6    301.538310769444
3.1103451028252604E-7     -1.5069075718298201E-6   1.536551568485588E-6     300
-3.9497499084589815E-8    -1.1141273277836488E-6   1.7373634774878237E-6    301.34055951189856
1.6871646617413532E-7     -1.2095729001065955E-6   1.521636090017764E-6     301.74716892887596
1.1192510352765867E-6     -1.381738741149673E-6    8.966288728494496E-7     300
1.1172856370330213E-6     -1.1072580174461179E-6   6.55546783867892E-7      302.4113235361044
6.154177066463246E-7      -1.3424834827336306E-6   1.6512281259928253E-6    300
8.867794794977798E-7      -1.3144163463755645E-6   1.4400494343319693E-6    300
-4.2589258125037595E-7    -3.837210146377668E-7    7.435702187948653E-7     318.093131398786
-3.7158873334183493E-7    -1.8261468877062973E-7   6.647769775265149E-7     325.0506857238293
-8.649515866289325E-7     1.801535902554412E-7     3.464359128883828E-7     316.2018529273157
-5.717331573035166E-7     2.1404705207832576E-7    2.1781163976979864E-7    330.4806936347785
-1.0790315127307977E-6    -3.150261752344854E-7    2.1271476269323657E-6    300
-1.0353303570708634E-6    -1.5558152577588786E-7   1.912592429479512E-6     300.9102278056317
-3.113253769529379E-7     -1.087883875322067E-6    2.1193638101136703E-6    300
-2.9037759428076473E-7    -9.79532394252672E-7     1.7308512176422824E-6    301.76743271479455
-5.710375044372178E-7     -8.59754134475715E-7     1.8505787684859839E-6    301.20358211881285
-6.987390611985818E-7     -5.117624371927925E-7    2.020191420912971E-6     301.05818753538557
-7.81042430186128E-7      -3.165972352659767E-7    2.368375871610529E-6     300
3.163920401608632E-7      -1.311892883923932E-6    1.85251962217513E-6      300
0                         -1.2323526497613572E-6   2.0061599176086848E-6    300
6.689776551155589E-7      -1.2014311408838568E-6   1.2214416753528665E-6    302.07805367547456
8.979757448524532E-7      -1.4522172708610124E-6   1.1346087155246807E-6    300
6.973468943068212E-7      -1.3616785116723926E-6   1.0059296383030495E-6    301.694380430377
8.570793962864495E-7      -1.3071151744154484E-6   8.946818159073775E-7     301.77915857447437
9.155809423355397E-7      -1.170360737341926E-6    1.169081404938423E-6     301.4673736202019
6.41452987582637E-7       -1.1001426969339067E-6   1.5095646591275963E-6    301.5106793777734
-1.726096944414657E-7     -3.211350524182992E-7    7.193032852187702E-7     324.8521124023183
-2.21493195116415E-7      -6.957645215594456E-7    7.63127266245258E-7      314.1333181042302
-7.664771597449188E-7     -2.5641783175702424E-7   1.9690540502803453E-6    301.4300851633859
-2.893081013244483E-7     -7.960704211430774E-7    2.0143436927960966E-6    301.13294922496397
-5.92028256238067E-7      -6.389896158583036E-7    2.34820310805865E-6      300
-2.891369208250721E-7     -8.404661161234987E-7    2.335154906078307E-6     300
-3.5395357271967186E-7    -6.111720978207366E-7    2.2147935079387554E-6    300.7071479692607
-5.250325345391356E-7     -3.868935453880716E-7    2.121364929585312E-6     301.1616523070918
-5.055498770911796E-7     -4.17699394980197E-7     2.4816146382797416E-6    300
-5.561721783576147E-7     -2.1102803444338767E-7   2.511523395537421E-6     300
-6.376815931977786E-7     -1.846315336809906E-7    6.949638373250378E-7     316.98035123631036
-4.554703651052242E-7     0                        6.09356744212349E-7      326.38718115830744
-7.763008718115736E-7     7.986155440868871E-8     6.293166557000137E-7     315.31997535587715
-1.048716442311432E-6     1.5723529566874462E-6    0                        300
-1.1849577377299997E-6    1.457183921557542E-6     2.956294132085732E-7     300
-1.3261051820234773E-6    6.803483425709575E-7     1.1007783876345073E-6    301.67955996380783
-1.382612767351798E-6     4.502459408971288E-7     1.2162144929999778E-6    301.52830951515443
-1.5069583046580377E-6    3.109802159925126E-7     1.536475586410506E-6     300
-1.5115303579853993E-6    6.102641413878721E-7     1.3391449372880904E-6    300
-1.1629230268453207E-6    1.2770822898847932E-7    1.5476784388915563E-6    301.9122053538567
-1.1932335656770986E-6    3.797498527210614E-7     1.421523683036046E-6     302.0225105994457
-1.2323526497613572E-6    0                        2.0061599176086848E-6    300
-1.093281907080414E-6     9.508408825231295E-8     1.8475596021021192E-6    300.97344173990047
-1.3118915063233163E-6    3.1639127049883564E-7    1.8525217919350342E-6    300
-1.3812402946930672E-6    1.1199254633792514E-6    8.964835310201274E-7     300
-1.3008924310823008E-6    1.301275937592507E-6     6.045339041867096E-7     300
-1.192927518625202E-6     1.1097831972559478E-6    7.073867419707384E-7     301.7107835100528
-1.4520430105539377E-6    8.983971734218625E-7     1.1343919446146318E-6    300
-1.3143820078909712E-6    8.868085488684848E-7     1.4400757787606485E-6    300
-1.1736271733185114E-6    8.42391308143295E-7      1.1761148439619628E-6    301.7477650023094
-5.104930701218481E-7     2.2018690505871234E-7    4.148692833996526E-7     328.17268460404773
-3.1359395171291473E-7    5.464053745580535E-7     0                        330.39582938773566
-4.525172317331902E-7     4.0437554538181885E-7    2.36796967109181E-7      329.25752634418575
-1.1689215735058478E-6    8.781480183365353E-7     8.700978704328933E-7     302.8025805416401
-7.29874321281264E-7      3.8048145199493236E-7    4.2578066824210354E-7    317.1647500312763
-8.363137623595242E-7     6.633856234629669E-7     2.6619237750563036E-7    311.8049141315269
-9.525877573410896E-7     1.1667772787679778E-6    0                        304.33563894385463
-9.433244832193414E-7     9.204237019782546E-7     1.9710561604295418E-7    307.03819824980104
-5.219523431691571E-7     6.534722982137515E-7     2.7110590444897507E-7    318.35546989735127
-4.469739283527926E-7     8.638615171022781E-7     0                        315.01408812925996
-6.980963402696741E-7     9.109993306602003E-7     0                        310.5420168046415
